path,win_probability,win_loss_ratio,segments_per_day,micros,runs,breakeven_win_probability,expected_gross_edge_ticks_per_trade_per_micro,expected_gross_edge_usd_per_trade_per_micro,pass_rate_per_attempt,p_first_payout_within_12m,monthly_net_mean,monthly_net_p10,monthly_net_p50,monthly_net_p90,p_beats_random_null_trader,mean_xfa_breaches,p_run_reaches_5_live,p_same_day_multi_breach,c80_critical_value,c80_power,c80_power_se,c80_power_lower95,c80_verdict,robust_c80_critical_value,robust_c80_power,robust_c80_power_se,robust_c80_power_lower95,robust_c80_verdict,c90_critical_value,c90_power,c90_power_se,c90_power_lower95,c90_verdict,robust_c90_critical_value,robust_c90_power,robust_c90_power_se,robust_c90_power_lower95,robust_c90_verdict,c95_critical_value,c95_power,c95_power_se,c95_power_lower95,c95_verdict,robust_c95_critical_value,robust_c95_power,robust_c95_power_se,robust_c95_power_lower95,robust_c95_verdict
standard,0.4,0.75,1,2,8000,0.5714285714285714,-49.97581178509865,-62.46976473137331,0.013732458699483117,0.048125,-113.67831114583333,-137.16666666666666,-112.66666666666667,-96.16666666666667,0.17177192968750002,0.279875,0.0,0.00075,43.05683333333334,0.005,0.0007885905147793753,0.0034543625910324243,fail,420.1011666666668,0.0,0.0,0.0,fail,198.7330833333335,0.000875,0.0003305741926935616,0.0002270745823206193,fail,873.5891666666669,0.0,0.0,0.0,fail,390.61495833333333,0.0,0.0,0.0,fail,1422.9244583333327,0.0,0.0,0.0,fail
standard,0.4,1.0,1,2,8000,0.5,-28.85354838709677,-36.066935483870964,0.03935620562762517,0.150625,-97.73511239583334,-129.0,-104.33333333333333,-79.83333333333333,0.265921703125,0.62325,0.0,0.00525,43.05683333333334,0.018125,0.0014914960767212898,0.015201667689626271,fail,420.1011666666668,0.00125,0.00039503757732651206,0.00047572634844003636,fail,198.7330833333335,0.007,0.0009321346469260758,0.005173016092024892,fail,873.5891666666669,0.000125,0.00012499218725584412,-0.00011998468702145444,fail,390.61495833333333,0.00175,0.0004672977503690768,0.0008340964092766096,fail,1422.9244583333327,0.0,0.0,0.0,fail
standard,0.4,1.5,1,2,8000,0.4,-8.008468440372723e-15,-1.0010585550465903e-14,0.1635406041176593,0.566625,-16.833735520833333,-116.91666666666667,-79.83333333333333,133.02758333333338,0.47906053125,1.803125,0.00025,0.033625,43.05683333333334,0.16275,0.004127081861012694,0.15466091955241512,fail,420.1011666666668,0.032125,0.0019714520148547874,0.028260954050884617,fail,198.7330833333335,0.078,0.002998249489285373,0.07212343100100067,fail,873.5891666666669,0.010125,0.0011192901977927798,0.007931191212326152,fail,390.61495833333333,0.0365,0.0020966565646285515,0.03239055313332804,fail,1422.9244583333327,0.0025,0.0005583177858531825,0.0014056971397277624,fail
standard,0.4,2.0,1,2,8000,0.3333333333333333,20.402539725810325,25.503174657262907,0.33155135784223166,0.8685,265.59192375,-104.5,43.0,887.0698333333336,0.7066703046875,3.1235,0.00675,0.11325,43.05683333333334,0.5,0.005590169943749474,0.489043266910251,fail,420.1011666666668,0.21375,0.004583406722897282,0.20476652282312133,fail,198.7330833333335,0.334,0.005273092072019983,0.32366473953884084,fail,873.5891666666669,0.102375,0.003389217449777308,0.09573213379843647,fail,390.61495833333333,0.226375,0.0046788000514955755,0.21720455189906868,fail,1422.9244583333327,0.04675,0.002360202255634038,0.042124003578957285,fail
standard,0.45,0.75,1,2,8000,0.5714285714285714,-35.399533347778224,-44.24941668472278,0.03323542624140433,0.13825,-101.81522989583334,-132.91666666666666,-108.41666666666667,-83.91666666666667,0.238836765625,0.570625,0.0,0.00525,43.05683333333334,0.01575,0.0013920280843072097,0.013021624954757869,fail,420.1011666666668,0.001,0.0003533765696816924,0.00030738192342388295,fail,198.7330833333335,0.006125,0.0008723161966139343,0.004415260254636689,fail,873.5891666666669,0.00025,0.00017675459682848423,-9.643900978382905e-05,fail,390.61495833333333,0.0015,0.00043268782048955343,0.0006519318718404754,fail,1422.9244583333327,0.0,0.0,0.0,fail
standard,0.45,1.0,1,2,8000,0.5,-14.426774193548393,-18.033467741935493,0.09091862416107382,0.383625,-70.50810833333334,-124.91666666666667,-96.16666666666667,-4.774666666666602,0.3617090703125,1.21875,0.0,0.01875,43.05683333333334,0.06575,0.0027709866812202473,0.06031886610480832,fail,420.1011666666668,0.00925,0.0010703058850160545,0.007152200465368533,fail,198.7330833333335,0.024625,0.0017327221854281777,0.021228864516560773,fail,873.5891666666669,0.00225,0.0005297331285656957,0.0012117230680112362,fail,390.61495833333333,0.0105,0.001139613421296889,0.008266357694258097,fail,1422.9244583333327,0.000375,0.0002164657521988178,-4.9272874309682865e-05,fail
standard,0.45,1.5,1,2,8000,0.4,14.724264753560751,18.40533094195094,0.29250298119894347,0.83775,160.96794864583336,-108.75,-2.114583333333333,605.8304166666668,0.65834453125,2.933625,0.00325,0.0935,43.05683333333334,0.414875,0.005508558504443335,0.40407822533129106,fail,420.1011666666668,0.144875,0.003935197491470409,0.137162012916718,fail,198.7330833333335,0.254,0.004866775112946971,0.24446112077862395,fail,873.5891666666669,0.060375,0.002662936803958179,0.05515564386424197,fail,390.61495833333333,0.156625,0.004063459261746696,0.14866061984697646,fail,1422.9244583333327,0.026125,0.0017833425209070185,0.022629648659022242,fail
standard,0.45,2.0,1,2,8000,0.3333333333333333,35.70444452016804,44.63055565021005,0.4845791595613728,0.97825,954.9718533333332,-45.12958333333331,483.14374999999995,2583.9342500000007,0.874789546875,4.34575,0.05525,0.220125,43.05683333333334,0.79975,0.004474230904580138,0.7909805074270229,fail,420.1011666666668,0.533375,0.0055777023649415895,0.5224427033647145,fail,198.7330833333335,0.670125,0.005256632529183964,0.6598220002427994,fail,873.5891666666669,0.35,0.005332682251925385,0.33954794278622624,fail,390.61495833333333,0.549125,0.0055631233850126855,0.5382212781653751,fail,1422.9244583333327,0.221875,0.004645515100274135,0.2127697904034627,fail
standard,0.5,0.75,1,2,8000,0.5714285714285714,-20.823254910457784,-26.029068638072232,0.07428316140037365,0.316375,-82.08123260416667,-128.83333333333334,-100.25,-31.73824999999997,0.32121496875000005,1.071,0.0,0.01625,43.05683333333334,0.0485,0.002401763674885604,0.04379254319722422,fail,420.1011666666668,0.00525,0.0008079632958866386,0.0036663919400621884,fail,198.7330833333335,0.018125,0.0014914960767212898,0.015201667689626271,fail,873.5891666666669,0.00075,0.0003060713764794088,0.00015010010210035878,fail,390.61495833333333,0.005875,0.0008544358061756308,0.004200305819895764,fail,1422.9244583333327,0.000125,0.00012499218725584412,-0.00011998468702145444,fail
standard,0.5,1.0,1,2,8000,0.5,0.0,0.0,0.1804089906397186,0.663875,-1.2823033333333334,-119.74433333333333,-75.69541666666666,189.36991666666697,0.5015047890625,2.09125,0.000375,0.0515,43.05683333333334,0.1935,0.004416697720016619,0.18484327246876744,fail,420.1011666666668,0.04025,0.0021974399166985203,0.0359430177632709,fail,198.7330833333335,0.09675,0.003305099043523507,0.09027200587469393,fail,873.5891666666669,0.01275,0.0012543642563067556,0.010291446057638758,fail,390.61495833333333,0.04575,0.0023360473427351596,0.04117134720823909,fail,1422.9244583333327,0.003875,0.0006946207935809293,0.0025135432445813786,fail
