[2026-09-24 18:38:44 PDT] stage-E.1-2026-09-24: account acct-2 (cap $125.00, spent $0.0000) · session cap $113.48 (spent $0.0000) · request cap $3.00
[2026-09-24 18:38:44 PDT] plan: 900 requests over 45 roots before splitting
[2026-09-24 18:38:44 PDT] resume scan: {'settled_files_on_disk': 0, 'leftover_partials': 0}
[2026-09-24 18:38:59 PDT] MNQ ohlcv-1m 2025-04-01..2025-05-01 (depth 0): bought 1,622,712 record bytes for $0.105789 · session $0.1058
[2026-09-24 18:39:17 PDT] MNQ ohlcv-1m 2025-05-01..2025-06-01 (depth 0): bought 1,680,000 record bytes for $0.109524 · session $0.2153
[2026-09-24 18:39:30 PDT] MNQ ohlcv-1m 2025-06-01..2025-07-01 (depth 0): bought 1,616,160 record bytes for $0.105362 · session $0.3207
[2026-09-24 18:39:46 PDT] MNQ ohlcv-1m 2025-07-01..2025-08-01 (depth 0): bought 1,751,400 record bytes for $0.114178 · session $0.4349
[2026-09-24 18:40:01 PDT] MNQ ohlcv-1m 2025-08-01..2025-09-01 (depth 0): bought 1,622,880 record bytes for $0.105800 · session $0.5407
/home/kiros-li/Documents/GitHub/PropExperiment/data/pull_universe.py:550: BentoWarning: The streaming request contained one or more days which have reduced quality: 2025-09-17 (degraded), 2025-09-24 (degraded). See: https://databento.com/docs/api-reference-historical/metadata/metadata-get-dataset-condition
  client.timeseries.get_range(**params.as_kwargs(), path=partial)
[2026-09-24 18:40:23 PDT] MNQ ohlcv-1m 2025-09-01..2025-10-01 (depth 0): bought 1,686,664 record bytes for $0.109958 · session $0.6506
[2026-09-24 18:40:39 PDT] MNQ ohlcv-1m 2025-10-01..2025-11-01 (depth 0): bought 1,770,720 record bytes for $0.115438 · session $0.7660
/home/kiros-li/Documents/GitHub/PropExperiment/data/pull_universe.py:550: BentoWarning: The streaming request contained one or more days which have reduced quality: 2025-11-28 (degraded). See: https://databento.com/docs/api-reference-historical/metadata/metadata-get-dataset-condition
  client.timeseries.get_range(**params.as_kwargs(), path=partial)
[2026-09-24 18:41:17 PDT] MNQ ohlcv-1m 2025-11-01..2025-12-01 (depth 0): bought 1,486,800 record bytes for $0.096928 · session $0.8630
[2026-09-24 18:41:32 PDT] MNQ ohlcv-1m 2025-12-01..2026-01-01 (depth 0): bought 1,684,200 record bytes for $0.109797 · session $0.9728
/home/kiros-li/Documents/GitHub/PropExperiment/data/pull_universe.py:550: BentoWarning: The streaming request contained one or more days which have reduced quality: 2026-01-31 (degraded). See: https://databento.com/docs/api-reference-historical/metadata/metadata-get-dataset-condition
  client.timeseries.get_range(**params.as_kwargs(), path=partial)
[2026-09-24 18:41:53 PDT] MNQ ohlcv-1m 2026-01-01..2026-02-01 (depth 0): bought 1,609,440 record bytes for $0.104924 · session $1.0777
[2026-09-24 18:42:06 PDT] MNQ ohlcv-1m 2026-02-01..2026-03-01 (depth 0): bought 1,532,160 record bytes for $0.099885 · session $1.1776
/home/kiros-li/Documents/GitHub/PropExperiment/data/pull_universe.py:550: BentoWarning: The streaming request contained one or more days which have reduced quality: 2026-03-15 (degraded), 2026-03-16 (degraded), 2026-03-21 (degraded). See: https://databento.com/docs/api-reference-historical/metadata/metadata-get-dataset-condition
  client.timeseries.get_range(**params.as_kwargs(), path=partial)
[2026-09-24 18:42:13 PDT] MNQ ohlcv-1m 2026-03-01..2026-04-01 (depth 0): bought 1,706,880 record bytes for $0.111276 · session $1.2889
/home/kiros-li/Documents/GitHub/PropExperiment/data/pull_universe.py:550: BentoWarning: The streaming request contained one or more days which have reduced quality: 2026-04-10 (degraded). See: https://databento.com/docs/api-reference-historical/metadata/metadata-get-dataset-condition
  client.timeseries.get_range(**params.as_kwargs(), path=partial)
[2026-09-24 18:42:26 PDT] MNQ ohlcv-1m 2026-04-01..2026-05-01 (depth 0): bought 1,674,120 record bytes for $0.109140 · session $1.3980
/home/kiros-li/Documents/GitHub/PropExperiment/data/pull_universe.py:550: BentoWarning: The streaming request contained one or more days which have reduced quality: 2026-05-24 (degraded). See: https://databento.com/docs/api-reference-historical/metadata/metadata-get-dataset-condition
  client.timeseries.get_range(**params.as_kwargs(), path=partial)
[2026-09-24 18:42:39 PDT] MNQ ohlcv-1m 2026-05-01..2026-06-01 (depth 0): bought 1,609,440 record bytes for $0.104924 · session $1.5029
[2026-09-24 18:42:50 PDT] MNQ ohlcv-1m 2026-06-01..2026-06-21 (depth 0): bought 1,139,040 record bytes for $0.074257 · session $1.5772
[2026-09-24 18:42:59 PDT] NQ ohlcv-1m 2025-04-01..2025-05-01 (depth 0): bought 1,622,712 record bytes for $0.105789 · session $1.6830
[2026-09-24 18:43:05 PDT] NQ ohlcv-1m 2025-05-01..2025-06-01 (depth 0): bought 1,680,000 record bytes for $0.109524 · session $1.7925
